,sku,Tên,Trạng thái,Nhãn hàng,Loại,Nhóm,Đặc điểm nổi bật,Giá gốc,Giá hiện tại,Giảm giá,Thời gian kết thúc giảm giá,Khuyến mãi,Link đặt hàng,Ảnh,Màu,Thông tin hàng hóa,Thiết kế và Trọng lượng,Thông số cơ bản,Thông tin pin và sạc,Tính năng và tiện ích,Phụ kiện trong hộp
0,00907646,Robot hút bụi lau nhà Xiaomi Vacuum E5,Mua ngay,Xiaomi,Gia dụng thông minh,Robot hút bụi,"['Lực hút 2000 Pa ', ""Thời gian hoạt động 110'"", 'Hút bụi lau sàn 2 in 1']",2490000,2190000,12,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-hut-bui/robot-hut-bui-lau-nha-xiaomi-vacuum-e5?sku=00907646,https://cdn2.fptshop.com.vn/unsafe/2024_4_16_638488773735353877_xiaomi-robot-vacuum-e5-1.jpg,Trắng,"{'Model': 'Xiaomi Vacuum E5', 'Xuất xứ': ['Trung Quốc'], 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành (tháng)': 12, 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Màu sắc': ['Trắng']}","{'Kích thước': '300 x 300 x 70 mm', 'Trọng lượng sản phẩm': [{'displayValue': '4.5 kg', 'value': 4.5}]}","{'Loại máy hút bụi': ['Robot hút bụi'], 'Công suất hút': '2000 Pa', 'Độ ồn lớn nhất': ['64 dB'], 'Bộ lọc bụi cho máy': ['HEPA'], 'Chế độ hút thông minh': ['Chế độ zigzag'], 'Thời gian sử dụng': ['3 giờ'], 'Ứng dụng kết nối': ['Mi Home']}","{'Dung lượng pin': [{'displayValue': '2600 mAh', 'value': 2600}]}","{'Tính năng': ['Lau và hút 2 trong 1', 'Hẹn giờ lau dọn', '3 Cấp độ lực hút', 'Tắt bật chế độ sạc'], 'Tiện ích': ['Tháo dời nhanh', 'Điều khiển thiết bị qua ứng dụng', 'Trợ lý ảo Google và Alexaz', 'Khả năng leo 15mm']}","{'Phụ kiện trong hộp': ['Dây nguồn', 'Dock sạc']}"
1,00852335,Robot hút bụi Xiaomi Mi Vacuum Mop 2,Mua ngay,Xiaomi,Gia dụng thông minh,Robot hút bụi,"['Đế sạc ', 'Diện tích làm sạch 150m²', 'Lực hút 2700 Pa ']",7990000,4490000,44,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-hut-bui/robot-hut-bui-xiaomi-mi-vacuum-mop-2?sku=00852335,https://cdn2.fptshop.com.vn/unsafe/2022_12_5_638058585260852347_robot-hut-bui-xiaomi-mi-vacuum-mop-2-trang-2.jpg,Trắng,"{'Model': 'Mop 2', 'Xuất xứ': ['Trung Quốc'], 'Thời điểm ra mắt': '2022', 'Thời gian bảo hành (tháng)': 12, 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Màu sắc': ['Trắng']}","{'Kích thước': '353×350×81 mm', 'Trọng lượng sản phẩm': [{'displayValue': '3.6 kg', 'value': 3.6}]}","{'Loại máy hút bụi': ['Robot hút bụi'], 'Công suất hút': '2700 Pa', 'Độ ồn lớn nhất': ['72 dB'], 'Bộ lọc bụi cho máy': ['HEPA'], 'Công nghệ hút bụi': ['Động cơ không chổi than Nidec'], 'Chế độ hút thông minh': ['Chế độ tự động'], 'Dung tích bình chứa': ['Hộp nước: 0.2 lít', 'Hộp bụi: 0.5 lít'], 'Thời gian sử dụng': ['110 phút'], 'Đầu hút bụi': ['Đầu hút bàn chải'], 'Ứng dụng kết nối': ['Mi Home']}","{'Dung lượng pin': [{'displayValue': '3200 mAh', 'value': 3200}]}","{'Tính năng': ['4 tốc độ/chế độ hút', 'Thiết lập tường ảo/ Khu vực giới hạn', 'Tiếp tục làm sạch tại điểm dừng', 'Điền khiển từ xa', 'Tự động về dock sạc khi dọn dẹp xong'], 'Tiện ích': ['Thiết lập bản đồ di chuyển thông minh', 'Ngăn chứa nước điều khiển điện tử thông minh', 'Có thể leo vật cản 20 mm', 'Kết nối qua wifi', 'Tự quay lại dock sạc khi hết pin', 'Điều khiển bằng điện thoại qua ứng dụng riêng', 'Khay chứa bụi dễ dàng tháo rời để vệ sinh', 'Trợ lí ảo Google Assistant', 'Chổi bên lục giác, chổi chính bằng sợi 0,1mm', 'Module lau nhà tăng áp cải tiến', 'Hẹn giờ', 'Dễ vệ sinh']}","{'Phụ kiện trong hộp': ['Chổi ven', 'Dụng cụ vệ sinh robot', 'Sách HDSD', 'Dây sạc', 'Ngăn đựng nước', 'Khăn lau', 'Dock sạc']}"
2,00862695,Robot hút bụi lau nhà Ecovacs Deebot N10,Mua ngay,Ecovacs,Gia dụng thông minh,Robot hút bụi,"['Vừa hút bụi, vừa lau sàn', 'Dung lượng pin  5200 mAh', 'Lực hút mạnh mẽ 4000 Pa']",11990000,6990000,42,2024-10-31T23:59:00.000+07:00,"['Tặng nước lau sàn', 'Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-hut-bui/robot-hut-bui-lau-nha-ecovacs-deebot-n10-trang?sku=00862695,https://cdn2.fptshop.com.vn/unsafe/2023_3_2_638133724897723526_robot-hut-bui-lau-nha-ecovacs-deebot-n10-trang-5.jpg,Trắng,"{'Model': 'Deebot N10', 'Xuất xứ': ['Trung Quốc'], 'Thời điểm ra mắt': '03/2023', 'Thời gian bảo hành (tháng)': 24, 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Màu sắc': ['Trắng']}","{'Kích thước': '350 x 97 mm', 'Trọng lượng sản phẩm': [{'displayValue': '4.19 kg', 'value': 4.19}]}","{'Loại máy hút bụi': ['Robot hút bụi'], 'Công suất': ['4000 W'], 'Công suất hút': '4000 Pa', 'Độ ồn lớn nhất': ['65.5 - 72 dB'], 'Bộ lọc bụi cho máy': ['HEPA'], 'Công nghệ hút bụi': ['Động cơ không chổi than'], 'Chế độ hút thông minh': ['Chế độ tự động'], 'Dung tích bình chứa': ['Hộp bụi: 0.43 lít'], 'Thời gian sử dụng': ['2 - 6 giờ Chế độ bình thường'], 'Thời gian sạc đầy': ['3 - 5 giờ'], 'Ứng dụng kết nối': ['Ecovacs Home']}","{'Dung lượng pin': [{'displayValue': '5200 mAh', 'value': 5200}]}","{'Tính năng': ['3 chế độ vệ sinh: quét, hút và lau nhà.'], 'Tiện ích': ['Công nghệ Air Freshener khử mùi làm mát không khí', 'Công nghệ trí tuệ nhân tạo AIVI thế hệ mới', 'Hệ thống lập bản đồ TrueMapping 3D 2.0', 'Hệ thống lau thông minh OZMO điều chỉnh lượng nước']}",{'Phụ kiện trong hộp': ['Sạc']}
3,00911929,Robot hút bụi lau nhà Ecovacs N30 Pro Omni,Mua ngay,Ecovacs,Gia dụng thông minh,Robot hút bụi,"['Lực hút 10000 Pa ', ""Thời gian hoạt động 320'"", 'Giặt khăn bằng nước nóng 60°C']",20990000,11900000,43,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/robot-hut-bui/robot-hut-bui-lau-nha-ecovacs-n30-pro-omni?sku=00911929,https://cdn2.fptshop.com.vn/unsafe/00911930_robot_hut_bui_lau_nha_ecovacs_n30_pro_omni_1_30904fe41c.png,Trắng,"{'Model': 'N30 Pro', 'Xuất xứ': ['Trung Quốc'], 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành (tháng)': 12, 'Màu sắc': ['Trắng']}","{'Kích thước': '353 x 353 x 104 mm', 'Kích thước Trạm sạc': '340 x 485 x 540 mm', 'Trọng lượng sản phẩm': [{'displayValue': '11.62 kg', 'value': 11.62}]}","{'Công suất': ['60 W'], 'Công suất hút': '10000 Pa', 'Độ ồn lớn nhất': ['65.3 dB'], 'Bộ lọc bụi cho máy': ['HEPA'], 'Chế độ hút thông minh': ['Chế độ tự động'], 'Thời gian sử dụng': ['6.5 giờ'], 'Ứng dụng kết nối': ['Ecovacs Home']}","{'Dung lượng pin': [{'displayValue': '5200 mAh', 'value': 5200}]}","{'Tính năng': ['Công nghệ chống rối ZeroTangle', 'Công nghệ làm sạch sâu các góc và mép tường với khả năng điều chỉnh tự động phù hợp cho từng bề mặt'], 'Tiện ích': ['Cảm biến chống rơi, chống va chạm', 'Tường ảo', 'Tự động quay về đế sạc khi pin yếu và quay trở lại vị trí đang vệ sinh dở để hoàn thành chu trình dọn dẹp', 'Tự động nâng giẻ lau 9mm khi leo thảm, đồng thời tăng lực hút làm sạch thảm', 'Tự động thu gom bụi vào túi rác', 'Điều khiển từ xa qua điện thoại']}","{'Phụ kiện trong hộp': ['Trạm sạc', 'Dây nguồn', 'Sách HDSD', 'Đế lau xoay', 'Giẻ lau xoay', 'Chổi quét cạnh', 'Chổi chính', 'Bộ lọc', 'Túi đựng bụi', 'Bình chứa nước sạch', 'Bình chứa nước bẩn']}"
4,00911930,Robot hút bụi lau nhà Ecovacs N30 Pro Omni,Mua ngay,Ecovacs,Gia dụng thông minh,Robot hút bụi,"['Lực hút 10000 Pa ', ""Thời gian hoạt động 320'"", 'Giặt khăn bằng nước nóng 60°C']",20990000,11900000,43,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/robot-hut-bui/robot-hut-bui-lau-nha-ecovacs-n30-pro-omni?sku=00911930,https://cdn2.fptshop.com.vn/unsafe/00911929_robot_hut_bui_lau_nha_ecovacs_n30_pro_omni_1_418ee7b650.png,Đen,"{'Model': 'N30 Pro', 'Xuất xứ': ['Trung Quốc'], 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành (tháng)': 12, 'Màu sắc': ['Trắng']}","{'Kích thước': '353 x 353 x 104 mm', 'Kích thước Trạm sạc': '340 x 485 x 540 mm', 'Trọng lượng sản phẩm': [{'displayValue': '11.62 kg', 'value': 11.62}]}","{'Công suất': ['60 W'], 'Công suất hút': '10000 Pa', 'Độ ồn lớn nhất': ['65.3 dB'], 'Bộ lọc bụi cho máy': ['HEPA'], 'Chế độ hút thông minh': ['Chế độ tự động'], 'Thời gian sử dụng': ['6.5 giờ'], 'Ứng dụng kết nối': ['Ecovacs Home']}","{'Dung lượng pin': [{'displayValue': '5200 mAh', 'value': 5200}]}","{'Tính năng': ['Công nghệ chống rối ZeroTangle', 'Công nghệ làm sạch sâu các góc và mép tường với khả năng điều chỉnh tự động phù hợp cho từng bề mặt'], 'Tiện ích': ['Cảm biến chống rơi, chống va chạm', 'Tường ảo', 'Tự động quay về đế sạc khi pin yếu và quay trở lại vị trí đang vệ sinh dở để hoàn thành chu trình dọn dẹp', 'Tự động nâng giẻ lau 9mm khi leo thảm, đồng thời tăng lực hút làm sạch thảm', 'Tự động thu gom bụi vào túi rác', 'Điều khiển từ xa qua điện thoại']}","{'Phụ kiện trong hộp': ['Trạm sạc', 'Dây nguồn', 'Sách HDSD', 'Đế lau xoay', 'Giẻ lau xoay', 'Chổi quét cạnh', 'Chổi chính', 'Bộ lọc', 'Túi đựng bụi', 'Bình chứa nước sạch', 'Bình chứa nước bẩn']}"
5,00907072,Robot hút bụi lau nhà Ecovacs Deebot Y1 Pro,Mua ngay,Ecovacs,Gia dụng thông minh,Robot hút bụi,"[""Thời gian hoạt động  180'"", 'Đế sạc ', 'Lực hút 6500 Pa ']",8900000,5890000,34,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-hut-bui/robot-hut-bui-lau-nha-ecovacs-deebot-y1-pro?sku=00907072,https://cdn2.fptshop.com.vn/unsafe/2024_3_12_638458368879269859_robot-hut-bui-lau-nha-ecovacs-deebot-y1-pro-3.jpg,Đen,"{'Model': 'Deebot Y1 Pro', 'Xuất xứ': ['Trung Quốc'], 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành (tháng)': 24, 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Màu sắc': ['Đen']}","{'Kích thước': '35 x 35 x 9.3 cm', 'Trọng lượng sản phẩm': [{'displayValue': '4.1 kg', 'value': 4.1}]}","{'Loại máy hút bụi': ['Robot hút bụi'], 'Công suất hút': '6000 Pa', 'Độ ồn lớn nhất': ['64.9 dB'], 'Bộ lọc bụi cho máy': ['HEPA'], 'Công nghệ hút bụi': ['Động cơ không chổi than'], 'Chế độ hút thông minh': ['Chế độ chạy hút cạnh tường'], 'Thời gian sử dụng': ['Khoảng 150 phút']}","{'Dung lượng pin': [{'displayValue': '5200 mAh', 'value': 5200}]}","{'Tiện ích': ['Công nghệ Air Freshener khử mùi làm mát không khí', 'Công nghệ trí tuệ nhân tạo AIVI thế hệ mới', 'Hệ thống lau thông minh OZMO điều chỉnh lượng nước', 'Hệ thống lập bản đồ TrueMapping 3D 2.0']}",{'Phụ kiện trong hộp': ['Trạm sạc']}
6,00874788,Robot hút bụi lau nhà Ecovacs Deebot T20 Omni DLX23,Mua ngay,Ecovacs,Gia dụng thông minh,Robot hút bụi,"['Trạm sạc ', ""Thời gian hoạt động 260'"", 'Lực hút 6000 Pa ']",29900000,13490000,55,2024-10-31T23:59:00.000+07:00,"['Chủ thẻ OCB: Giảm thêm 500,000đ', 'Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-hut-bui/robot-hut-bui-lau-nha-ecovacs-deebot-t20-omni-dlx23?sku=00874788,https://cdn2.fptshop.com.vn/unsafe/2023_4_28_638182878661005970_robot-hut-bui-lau-nha-ecovacs-deebot-t20-omni-dlx23-3.jpg,Trắng,"{'Model': 'DEEBOT T20 OMNI', 'Xuất xứ': ['Trung Quốc'], 'Thời điểm ra mắt': '2023', 'Thời gian bảo hành (tháng)': 24, 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Màu sắc': ['Trắng']}","{'Kích thước': '35 x 35 x 10,2 cm', 'Trọng lượng sản phẩm': [{'displayValue': '4.1 kg', 'value': 4.1}]}","{'Loại máy hút bụi': ['Robot hút bụi'], 'Công suất': ['45 W'], 'Công suất hút': '6000 Pa', 'Độ ồn lớn nhất': ['70 dB'], 'Bộ lọc bụi cho máy': ['HEPA E12'], 'Công nghệ hút bụi': ['Công nghệ tăng áp kép hút rãnh khe sâu 4mm'], 'Chế độ hút thông minh': ['Chế độ tự động'], 'Dung tích bình chứa': ['Hộp bụi: 0.3 lít'], 'Thời gian sử dụng': ['3 - 4 giờ Chế độ bình thường'], 'Thời gian sạc đầy': ['3 - 6 giờ'], 'Đầu hút bụi': ['Đầu hút đa năng'], 'Ứng dụng kết nối': ['Ecovacs Home']}","{'Dung lượng pin': [{'displayValue': '5200 mAh', 'value': 5200}]}","{'Tính năng': ['4 tốc độ/chế độ hút'], 'Tiện ích': ['Khóa trẻ em', 'Hệ thống TrueDetect 3D 2.0 phát hiện vật nhỏ giảm mắc kẹt', 'Hệ thống lau xoay OZMO Turbo 2.0', 'Chế độ Quản gia 2.0', 'Tự động giặt khăn lau', 'Bộ lọc kháng khuẩn hiệu quả cao', 'Khử trùng bằng ion bạc']}",{'Phụ kiện trong hộp': ['Chổi chính']}
7,00797668,Robot hút bụi Xiaomi Mi Vacuum Mop 2 Lite,Mua ngay,Xiaomi,Gia dụng thông minh,Robot hút bụi,"['Hút bụi lau sàn 2 in 1', 'Diện tích làm sạch 150m²', 'Lực hút 2200 Pa ']",5990000,2190000,63,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-hut-bui/robot-hut-bui-xiaomi-mi-vacuum-mop-2-lite?sku=00797668,https://cdn2.fptshop.com.vn/unsafe/2022_2_15_637805318883717608_robot-hut-bui-xiaomi-mi-vacuum-mop-2-lite-trang-5.jpg,Trắng,"{'Model': 'Mi Mop 2 Lite', 'Xuất xứ': ['Trung Quốc'], 'Thời điểm ra mắt': '2022', 'Thời gian bảo hành (tháng)': 12, 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Màu sắc': ['Trắng']}","{'Kích thước': '353 x 353 x 81,3 mm', 'Trọng lượng sản phẩm': [{'displayValue': '5.8 kg', 'value': 5.8}]}","{'Loại máy hút bụi': ['Robot hút bụi'], 'Công suất hút': '2200 Pa', 'Độ ồn lớn nhất': ['72 dB'], 'Bộ lọc bụi cho máy': ['HEPA'], 'Công nghệ hút bụi': ['Động cơ không chổi than Nidec'], 'Chế độ hút thông minh': ['Chế độ chạy hút cạnh tường'], 'Dung tích bình chứa': ['Hộp bụi: 0.45 lít'], 'Ứng dụng kết nối': ['Mi Home']}","{'Dung lượng pin': [{'displayValue': '2600 mAh', 'value': 2600}]}",{'Tính năng': ['Tự động về dock sạc khi dọn dẹp xong']},"{'Phụ kiện trong hộp': ['Dock sạc', 'Dây nguồn']}"
8,00910314,Robot hút bụi lau nhà Ecovacs Deebot X5 Pro Omni,Mua ngay,Ecovacs,Gia dụng thông minh,Robot hút bụi,"['Diện tích làm sạch 145m²', 'Trạm sạc ', 'Lực hút 12800 Pa ']",33900000,23900000,29,2024-10-31T23:59:00.000+07:00,"['Tặng Máy ép chậm', 'Tặng nước lau sàn', 'Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-hut-bui/robot-hut-bui-lau-nha-ecovacs-deebot-x5-pro-omni-trang,https://cdn2.fptshop.com.vn/unsafe/00910314_robot_hut_bui_lau_nha_ecovacs_deebot_x5_pro_omni_f1dd709ddc.png,Trắng,"{'Model': 'X5 Pro Omni', 'Xuất xứ': ['Trung Quốc'], 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành (tháng)': 24, 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Màu sắc': ['Trắng']}","{'Kích thước': '34.6 x 31.3 x 9.5 cm', 'Trọng lượng sản phẩm': [{'displayValue': '15.8 kg', 'value': 15.8}]}","{'Loại máy hút bụi': ['Robot hút bụi'], 'Công suất': ['45 W'], 'Công suất hút': '12800 Pa', 'Độ ồn lớn nhất': ['67.9 dB'], 'Bộ lọc bụi cho máy': ['HEPA'], 'Chế độ hút thông minh': ['Chế độ zigzag', 'Chế độ làm sạch tổng thể', 'Chế độ làm sạch sâu', 'Chế độ hút tại điểm chỉ định'], 'Thời gian sử dụng': ['Tối đa 164 phút'], 'Thời gian sạc đầy': ['4 - 5 giờ'], 'Ứng dụng kết nối': ['Ecovacs Home']}","{'Dung lượng pin': [{'displayValue': '6400 mAh', 'value': 6400}]}","{'Tính năng': ['Công nghệ làm sạch cạnh TruEdge', 'Công nghệ chống rối ZeroTangle', 'Điều hướng AINI 2.0, AIVI 3.0', 'Cảm biến thảm, tự động nâng giẻ 15mm và tăng lực hút khi gặp thảm', 'Cảm biến mức độ của vết bẩn, tự động phát hiện những khu vực chưa được làm sạch triệt để và kích hoạt chương trình tái vệ sinh khu vực đó', 'Trợ lý giọng nói độc quyền YIKO AI', 'Trò chuyện video theo thời gian thực', 'Lập bản đồ TrueMapping 2.0', 'Điều khiển qua màn hình iPhone Apple Watch'], 'Tiện ích': ['Tự động nhận diện thảm', 'Tự động tăng lực hút trên thảm', 'Tự động làm trống hộp bụi', 'Tự động giặt giẻ lau bằng nước nóng 70 độ C', 'Tự động sấy khô bằng không khí nóng trong 5 phút', 'Tự đông nâng giẻ 15mm', 'Vượt chướng ngại vật ngưỡng cao 22mm', 'Widget trên điện thoại thông minh', 'Dymamic Island trên Iphone', 'Khả năng tương thích với ứng dụng Smart Home']}","{'Phụ kiện trong hộp': ['Dock sạc', 'Sách HDSD', 'Chổi ven', 'Chổi chính', 'Túi đựng bụi', 'Dụng cụ vệ sinh robot']}"
9,00910470,Robot hút bụi lau nhà Ecovacs Deebot X5 Pro Omni,Mua ngay,Ecovacs,Gia dụng thông minh,Robot hút bụi,"['Diện tích làm sạch 145m²', 'Trạm sạc ', 'Lực hút 12800 Pa ']",33900000,23900000,29,2024-10-31T23:59:00.000+07:00,"['Tặng Máy ép chậm', 'Tặng nước lau sàn', 'Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-hut-bui/robot-hut-bui-lau-nha-ecovacs-deebot-x5-pro-omni?sku=00910470,https://cdn2.fptshop.com.vn/unsafe/00910470_robot_hut_bui_lau_nha_ecovacs_deebot_x5_pro_omni_den_01205a0d7b.png,Đen,"{'Model': 'X5 Pro Omni', 'Xuất xứ': ['Trung Quốc'], 'Thời điểm ra mắt': '2024', 'Thời gian bảo hành (tháng)': 24, 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Màu sắc': ['Trắng']}","{'Kích thước': '34.6 x 31.3 x 9.5 cm', 'Trọng lượng sản phẩm': [{'displayValue': '15.8 kg', 'value': 15.8}]}","{'Loại máy hút bụi': ['Robot hút bụi'], 'Công suất': ['45 W'], 'Công suất hút': '12800 Pa', 'Độ ồn lớn nhất': ['67.9 dB'], 'Bộ lọc bụi cho máy': ['HEPA'], 'Chế độ hút thông minh': ['Chế độ zigzag', 'Chế độ làm sạch tổng thể', 'Chế độ làm sạch sâu', 'Chế độ hút tại điểm chỉ định'], 'Thời gian sử dụng': ['Tối đa 164 phút'], 'Thời gian sạc đầy': ['4 - 5 giờ'], 'Ứng dụng kết nối': ['Ecovacs Home']}","{'Dung lượng pin': [{'displayValue': '6400 mAh', 'value': 6400}]}","{'Tính năng': ['Công nghệ làm sạch cạnh TruEdge', 'Công nghệ chống rối ZeroTangle', 'Điều hướng AINI 2.0, AIVI 3.0', 'Cảm biến thảm, tự động nâng giẻ 15mm và tăng lực hút khi gặp thảm', 'Cảm biến mức độ của vết bẩn, tự động phát hiện những khu vực chưa được làm sạch triệt để và kích hoạt chương trình tái vệ sinh khu vực đó', 'Trợ lý giọng nói độc quyền YIKO AI', 'Trò chuyện video theo thời gian thực', 'Lập bản đồ TrueMapping 2.0', 'Điều khiển qua màn hình iPhone Apple Watch'], 'Tiện ích': ['Tự động nhận diện thảm', 'Tự động tăng lực hút trên thảm', 'Tự động làm trống hộp bụi', 'Tự động giặt giẻ lau bằng nước nóng 70 độ C', 'Tự động sấy khô bằng không khí nóng trong 5 phút', 'Tự đông nâng giẻ 15mm', 'Vượt chướng ngại vật ngưỡng cao 22mm', 'Widget trên điện thoại thông minh', 'Dymamic Island trên Iphone', 'Khả năng tương thích với ứng dụng Smart Home']}","{'Phụ kiện trong hộp': ['Dock sạc', 'Sách HDSD', 'Chổi ven', 'Chổi chính', 'Túi đựng bụi', 'Dụng cụ vệ sinh robot']}"
